epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.901,1.63498,4.90234,0.01236,0.20745,0.10838,0.07441,0.04767,1.37984,3.44882,0.01643,4.86316e-05,4.86316e-05,4.86316e-05
2,272.907,1.30957,2.63883,0.00925,0.5088,0.43622,0.45717,0.31855,1.22011,2.07024,0.0142,9.68261e-05,9.68261e-05,9.68261e-05
3,365.753,1.18967,1.74922,0.00825,0.65417,0.58415,0.62002,0.44141,1.14475,1.53854,0.01302,0.000144212,0.000144212,0.000144212
4,458.512,1.12078,1.32267,0.00773,0.7307,0.66283,0.70455,0.50683,1.09026,1.24916,0.01242,0.000143362,0.000143362,0.000143362
5,551.008,1.06104,1.09818,0.00726,0.75385,0.69867,0.75401,0.55064,1.04339,1.09656,0.01181,0.000142149,0.000142149,0.000142149
6,645.757,1.0143,0.97948,0.00689,0.78136,0.71028,0.77699,0.56943,1.01511,1.01326,0.01138,0.000140936,0.000140936,0.000140936
7,703.011,0.99333,0.88897,0.00675,0.77851,0.74221,0.79462,0.58458,1.00121,0.9389,0.01135,0.000139723,0.000139723,0.000139723
8,756.526,0.96507,0.83994,0.00651,0.77505,0.7418,0.80183,0.59013,0.99509,0.92471,0.01125,0.000138511,0.000138511,0.000138511
9,809.764,0.94163,0.79039,0.00636,0.77516,0.75711,0.8109,0.59901,0.98584,0.88024,0.01122,0.000137298,0.000137298,0.000137298
10,864.535,0.93363,0.76479,0.00626,0.78867,0.74646,0.81432,0.60291,0.96777,0.84945,0.01096,0.000136085,0.000136085,0.000136085
11,919.559,0.90357,0.71812,0.00604,0.76474,0.78601,0.81836,0.60397,0.97662,0.83808,0.01112,0.000134872,0.000134872,0.000134872
12,973.887,0.89639,0.70411,0.00598,0.81048,0.7675,0.82682,0.61542,0.96893,0.81369,0.01106,0.00013366,0.00013366,0.00013366
13,1027.34,0.88062,0.67548,0.00587,0.80013,0.75978,0.82748,0.61577,0.96503,0.82085,0.01091,0.000132447,0.000132447,0.000132447
14,1089.16,0.86587,0.66843,0.00578,0.77088,0.77786,0.82332,0.61176,0.95543,0.8121,0.01077,0.000131234,0.000131234,0.000131234
15,1137.79,0.85311,0.63547,0.00567,0.79523,0.76732,0.83108,0.61834,0.94994,0.81321,0.01065,0.000130022,0.000130022,0.000130022
16,1190.07,0.84675,0.61176,0.00565,0.81183,0.77507,0.83858,0.62526,0.94257,0.79513,0.01064,0.000128809,0.000128809,0.000128809
17,1232.5,0.83483,0.59069,0.00555,0.80283,0.77887,0.83662,0.62499,0.94499,0.7884,0.01068,0.000127596,0.000127596,0.000127596
18,1275.17,0.81843,0.57264,0.00541,0.78642,0.79323,0.8313,0.61562,0.9601,0.79323,0.01083,0.000126383,0.000126383,0.000126383
19,1318.31,0.80891,0.55589,0.00537,0.7737,0.79581,0.83172,0.61838,0.94767,0.79507,0.0107,0.000125171,0.000125171,0.000125171
20,1360.03,0.80665,0.54381,0.00536,0.8095,0.7881,0.83218,0.6159,0.94751,0.80136,0.01072,0.000123958,0.000123958,0.000123958
21,1400.47,0.79402,0.52644,0.00524,0.79449,0.79225,0.83243,0.61757,0.94852,0.78598,0.0108,0.000122745,0.000122745,0.000122745
22,1441.16,0.77961,0.50104,0.00514,0.81104,0.77421,0.82983,0.61512,0.94484,0.80028,0.01071,0.000121532,0.000121532,0.000121532
23,1481.4,0.77278,0.49647,0.00509,0.79287,0.79261,0.82917,0.61298,0.93653,0.803,0.01056,0.000120319,0.000120319,0.000120319
24,1522.01,0.76307,0.48156,0.00503,0.82017,0.7752,0.82704,0.61753,0.9372,0.81601,0.01051,0.000119107,0.000119107,0.000119107
25,1564.1,0.75131,0.45639,0.00494,0.80009,0.77476,0.82509,0.61172,0.94801,0.84386,0.01077,0.000117894,0.000117894,0.000117894
26,1605.18,0.73957,0.44421,0.00485,0.81571,0.78021,0.8296,0.6179,0.93947,0.80276,0.01057,0.000116681,0.000116681,0.000116681
27,1646.57,0.73535,0.43308,0.00483,0.80874,0.78205,0.83182,0.6193,0.93268,0.8117,0.01047,0.000115468,0.000115468,0.000115468
28,1688.75,0.72034,0.41606,0.00471,0.77135,0.80582,0.82804,0.6165,0.94278,0.82169,0.01077,0.000114256,0.000114256,0.000114256
29,1728.32,0.71617,0.40468,0.00469,0.80172,0.79676,0.83215,0.62169,0.93198,0.81685,0.01043,0.000113043,0.000113043,0.000113043
30,1768.94,0.7063,0.38741,0.00462,0.78876,0.78033,0.81836,0.61066,0.94,0.8531,0.01068,0.00011183,0.00011183,0.00011183
31,1810.03,0.70023,0.38105,0.00458,0.82167,0.76738,0.82296,0.61248,0.93303,0.84478,0.01057,0.000110617,0.000110617,0.000110617
32,1850.2,0.68605,0.3633,0.00447,0.80714,0.78544,0.82088,0.61099,0.93495,0.87884,0.01059,0.000109405,0.000109405,0.000109405
33,1890.34,0.67871,0.3616,0.0044,0.81094,0.78241,0.82188,0.61209,0.93566,0.8711,0.01065,0.000108192,0.000108192,0.000108192
34,1931.49,0.67289,0.35123,0.00438,0.80327,0.76713,0.81513,0.60539,0.94415,0.8894,0.01074,0.000106979,0.000106979,0.000106979
35,1972.15,0.6664,0.34387,0.00433,0.80185,0.77388,0.81907,0.6119,0.92747,0.87927,0.01049,0.000105766,0.000105766,0.000105766
36,2012.52,0.65288,0.33101,0.00425,0.7788,0.79293,0.81305,0.60748,0.94017,0.89419,0.01066,0.000104554,0.000104554,0.000104554
37,2053.24,0.64307,0.32307,0.00419,0.80678,0.78303,0.81923,0.61336,0.93323,0.88482,0.01056,0.000103341,0.000103341,0.000103341
38,2093.16,0.64005,0.32143,0.00416,0.81629,0.77714,0.8158,0.61087,0.92788,0.90662,0.01052,0.000102128,0.000102128,0.000102128
39,2133.29,0.62981,0.30936,0.00409,0.81293,0.77874,0.81466,0.61096,0.93192,0.92065,0.01057,0.000100915,0.000100915,0.000100915
40,2174.04,0.62463,0.30128,0.00405,0.79672,0.7885,0.81201,0.60516,0.93809,0.91946,0.01066,9.97028e-05,9.97028e-05,9.97028e-05
41,2213.99,0.61435,0.2895,0.00397,0.80132,0.78445,0.81547,0.60879,0.93887,0.91723,0.0107,9.849e-05,9.849e-05,9.849e-05
42,2254.32,0.61101,0.28749,0.00395,0.79737,0.78764,0.81245,0.60753,0.93619,0.929,0.0106,9.72772e-05,9.72772e-05,9.72772e-05
43,2295.01,0.60253,0.28382,0.00389,0.80542,0.77594,0.80866,0.60229,0.93758,0.94198,0.01064,9.60645e-05,9.60645e-05,9.60645e-05
44,2336.04,0.59584,0.27698,0.00384,0.80188,0.78336,0.81118,0.60332,0.94337,0.95252,0.01071,9.48518e-05,9.48518e-05,9.48518e-05
45,2376.53,0.58049,0.2701,0.00375,0.80255,0.77244,0.80899,0.60184,0.93553,0.95276,0.01067,9.3639e-05,9.3639e-05,9.3639e-05
46,2417.01,0.57893,0.26611,0.00373,0.80302,0.78847,0.80854,0.60426,0.92524,0.94528,0.01046,9.24263e-05,9.24263e-05,9.24263e-05
47,2456.75,0.5729,0.26185,0.00369,0.80991,0.78508,0.80435,0.59952,0.94178,0.9764,0.01072,9.12135e-05,9.12135e-05,9.12135e-05
48,2496.11,0.56718,0.25745,0.00364,0.81076,0.77464,0.80575,0.60376,0.9317,0.9765,0.01056,9.00008e-05,9.00008e-05,9.00008e-05
49,2536.51,0.56238,0.25441,0.0036,0.81787,0.78544,0.80222,0.5969,0.93478,0.98991,0.01058,8.8788e-05,8.8788e-05,8.8788e-05
50,2576.17,0.55033,0.2484,0.00354,0.8142,0.78583,0.80593,0.60063,0.93059,1.0019,0.01052,8.75752e-05,8.75752e-05,8.75752e-05
51,2616.19,0.54699,0.24436,0.0035,0.82082,0.78594,0.80907,0.60306,0.92926,0.97921,0.01054,8.63625e-05,8.63625e-05,8.63625e-05
52,2656.97,0.54133,0.23738,0.00348,0.80686,0.78958,0.80804,0.60533,0.92891,0.9906,0.01056,8.51497e-05,8.51497e-05,8.51497e-05
53,2697.87,0.5359,0.23066,0.00342,0.81791,0.79322,0.81111,0.60634,0.92908,0.98142,0.01059,8.3937e-05,8.3937e-05,8.3937e-05
54,2738.28,0.52934,0.22948,0.00339,0.8147,0.79505,0.80839,0.60268,0.92633,0.98892,0.01045,8.27242e-05,8.27242e-05,8.27242e-05
55,2778.68,0.51696,0.22328,0.0033,0.82292,0.78158,0.8066,0.6004,0.93019,1.00849,0.01057,8.15115e-05,8.15115e-05,8.15115e-05
56,2818.4,0.5141,0.22426,0.00328,0.82464,0.78772,0.81343,0.60695,0.93046,0.99115,0.01055,8.02988e-05,8.02988e-05,8.02988e-05
