epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.031,1.68378,4.7757,0.01067,0.30558,0.10833,0.07063,0.0447,1.41416,3.48418,0.01651,4.85463e-05,4.85463e-05,4.85463e-05
2,296.262,1.38187,2.68993,0.00819,0.59211,0.53276,0.55309,0.3903,1.17819,1.84208,0.01341,9.67415e-05,9.67415e-05,9.67415e-05
3,405.144,1.25223,1.76792,0.00734,0.72639,0.66245,0.70523,0.50042,1.1144,1.31049,0.0125,0.000144128,0.000144128,0.000144128
4,512.436,1.18095,1.40095,0.00683,0.75176,0.71514,0.76583,0.55105,1.05499,1.05736,0.01189,0.000143362,0.000143362,0.000143362
5,622.979,1.13321,1.2416,0.00654,0.80074,0.73089,0.79197,0.571,1.02987,0.93956,0.01156,0.000142149,0.000142149,0.000142149
6,731.361,1.09799,1.14807,0.00629,0.79444,0.75025,0.80589,0.58935,1.01342,0.8763,0.01156,0.000140936,0.000140936,0.000140936
7,840.081,1.06829,1.07412,0.00608,0.79793,0.771,0.82331,0.60149,0.99777,0.83173,0.01116,0.000139723,0.000139723,0.000139723
8,947.765,1.0478,1.02779,0.00593,0.80246,0.77674,0.83277,0.61322,0.96711,0.80801,0.01079,0.000138511,0.000138511,0.000138511
9,1056.99,1.02777,0.98225,0.00584,0.80904,0.78184,0.83478,0.61789,0.96475,0.77981,0.01079,0.000137298,0.000137298,0.000137298
10,1169.05,1.01708,0.95492,0.0058,0.80466,0.77883,0.83891,0.61656,0.97482,0.78864,0.01082,0.000136085,0.000136085,0.000136085
11,1280.64,1.00735,0.93621,0.00572,0.79493,0.78754,0.8374,0.62014,0.95417,0.76831,0.01069,0.000134872,0.000134872,0.000134872
12,1391.98,0.9996,0.92704,0.00567,0.79551,0.79589,0.83981,0.62778,0.94782,0.74146,0.01054,0.00013366,0.00013366,0.00013366
13,1507.78,0.98456,0.88728,0.00558,0.80119,0.79433,0.84541,0.62804,0.9423,0.73583,0.01049,0.000132447,0.000132447,0.000132447
14,1624.4,0.98414,0.88012,0.00556,0.7984,0.78751,0.84399,0.62491,0.95128,0.72813,0.01068,0.000131234,0.000131234,0.000131234
15,2098.2,0.96551,0.87051,0.00545,0.79709,0.78991,0.84254,0.62502,0.95364,0.73837,0.01069,0.000130022,0.000130022,0.000130022
16,2421,0.95768,0.8484,0.00536,0.80314,0.79707,0.84973,0.63328,0.94036,0.70671,0.0104,0.000128809,0.000128809,0.000128809
17,2596.13,0.94666,0.83016,0.00536,0.82134,0.77989,0.85001,0.63728,0.92441,0.73219,0.01024,0.000127596,0.000127596,0.000127596
18,2704.89,0.93246,0.81279,0.00525,0.81944,0.79616,0.84514,0.63235,0.92269,0.72826,0.01026,0.000126383,0.000126383,0.000126383
19,2813.07,0.93511,0.80342,0.00527,0.80716,0.80234,0.8526,0.6373,0.92411,0.7139,0.01025,0.000125171,0.000125171,0.000125171
20,2921.09,0.92015,0.78324,0.00513,0.81566,0.79509,0.85303,0.63754,0.9298,0.71145,0.01034,0.000123958,0.000123958,0.000123958
21,3029.36,0.92072,0.7839,0.00518,0.80372,0.79948,0.85568,0.63952,0.92645,0.70734,0.01024,0.000122745,0.000122745,0.000122745
22,3138.41,0.91584,0.76667,0.00513,0.81225,0.79448,0.8449,0.62859,0.92871,0.71805,0.01032,0.000121532,0.000121532,0.000121532
23,3246.39,0.90552,0.75408,0.00508,0.80799,0.79766,0.84404,0.63045,0.92038,0.72519,0.01029,0.000120319,0.000120319,0.000120319
24,3355.52,0.89566,0.74231,0.00501,0.79234,0.81967,0.85176,0.63862,0.91361,0.71054,0.01016,0.000119107,0.000119107,0.000119107
25,3464.48,0.89048,0.732,0.00501,0.82339,0.78402,0.8441,0.62942,0.9234,0.72774,0.01022,0.000117894,0.000117894,0.000117894
26,3571.5,0.88501,0.71461,0.00494,0.81839,0.7981,0.8484,0.63547,0.9193,0.71641,0.01021,0.000116681,0.000116681,0.000116681
27,3679.64,0.87997,0.7145,0.00488,0.79441,0.79835,0.844,0.62879,0.92496,0.73301,0.01023,0.000115468,0.000115468,0.000115468
28,3788.35,0.86973,0.68966,0.00486,0.79825,0.80215,0.83748,0.62792,0.912,0.75803,0.01011,0.000114256,0.000114256,0.000114256
29,4018.19,0.86936,0.68502,0.00483,0.79212,0.80168,0.83883,0.63077,0.90806,0.74204,0.01007,0.000113043,0.000113043,0.000113043
