epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.136,1.60874,4.08422,0.01207,0.55215,0.46433,0.49045,0.32564,1.37262,2.14887,0.0165,0.00993789,0.00331263,0.00993789,0.00331263,0.00993789,0.00331263,0.00993789,0.00331263
2,229.051,1.26626,1.45094,0.00887,0.73328,0.66573,0.72723,0.50574,1.16037,1.30513,0.01333,0.0198392,0.00661307,0.0198392,0.00661307,0.0198392,0.00661307,0.0198392,0.00661307
3,305.812,1.19191,1.05603,0.00827,0.73017,0.68414,0.74142,0.50514,1.26542,1.16837,0.01499,0.0296415,0.0098805,0.0296415,0.0098805,0.0296415,0.0098805,0.0296415,0.0098805
4,383.594,1.15237,0.97061,0.00795,0.75442,0.71607,0.78435,0.5471,1.14141,1.00912,0.0133,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,462.641,1.10027,0.87167,0.00751,0.76391,0.74142,0.79447,0.56038,1.09784,0.9503,0.01261,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,538.533,1.06309,0.817,0.00723,0.78284,0.75318,0.82,0.58266,1.06502,0.88924,0.01228,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,613.145,1.03755,0.77091,0.00703,0.79405,0.75996,0.83081,0.59579,1.05436,0.8323,0.01204,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,688.761,1.02325,0.74128,0.00693,0.77695,0.75085,0.80852,0.55922,1.1371,0.87909,0.01344,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,764.914,1.00192,0.7186,0.00676,0.79516,0.75616,0.82509,0.58681,1.05954,0.8286,0.01209,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,841.517,0.981,0.70652,0.00659,0.8093,0.76254,0.83737,0.60831,1.01694,0.79046,0.01159,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,915.648,0.9682,0.69083,0.0065,0.79635,0.78446,0.83959,0.61378,1.00274,0.80026,0.01137,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,996.269,0.94927,0.66961,0.00638,0.80683,0.79141,0.84455,0.6122,1.01494,0.76047,0.01158,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1073.28,0.94029,0.65362,0.00631,0.80109,0.77807,0.83827,0.61417,0.9931,0.77317,0.01135,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1154.49,0.92812,0.64131,0.00622,0.78674,0.78743,0.83695,0.60347,1.02487,0.77207,0.01178,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1231.16,0.91461,0.62756,0.00612,0.79333,0.79085,0.83959,0.61738,0.9888,0.74598,0.01121,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1311.75,0.91021,0.61773,0.0061,0.81242,0.77353,0.844,0.62193,0.97414,0.75018,0.01094,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1391.72,0.90366,0.60314,0.00604,0.78742,0.79245,0.84368,0.61576,0.97288,0.77016,0.01101,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1475.63,0.89365,0.58819,0.00594,0.79654,0.77704,0.83343,0.60817,0.99125,0.76985,0.01146,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1553.77,0.88012,0.56771,0.00585,0.80376,0.78139,0.83597,0.61833,0.94717,0.77125,0.0106,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1629.94,0.8742,0.55648,0.00582,0.79423,0.78697,0.84092,0.61918,0.98656,0.74081,0.0112,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,1705.24,0.86602,0.53967,0.00575,0.7837,0.78818,0.84024,0.62028,0.9379,0.74899,0.01052,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,1780.61,0.85598,0.53229,0.00569,0.79243,0.7873,0.83705,0.61993,0.95353,0.74974,0.01073,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,1858.78,0.85077,0.51536,0.00564,0.78216,0.77093,0.82675,0.60774,0.96345,0.77777,0.01097,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,1936.41,0.84348,0.51648,0.00558,0.80405,0.77817,0.83099,0.61258,0.95602,0.78612,0.01089,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2011.36,0.83287,0.50235,0.00551,0.76879,0.80254,0.82759,0.61511,0.94441,0.77194,0.01074,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2087.72,0.82587,0.48867,0.00546,0.80872,0.78116,0.83513,0.61664,0.95421,0.76217,0.0108,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2163.11,0.81941,0.47238,0.0054,0.80321,0.77499,0.83309,0.61922,0.93137,0.77131,0.01048,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2242.7,0.8086,0.46429,0.00534,0.80808,0.77556,0.82886,0.61088,0.94979,0.79353,0.01077,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2318.97,0.80265,0.45404,0.00529,0.8095,0.77996,0.83228,0.61284,0.94512,0.76619,0.01072,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2393.68,0.79676,0.44853,0.00526,0.78085,0.80682,0.83564,0.62232,0.9429,0.77204,0.01073,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2469.71,0.78399,0.43147,0.00518,0.78409,0.79454,0.8326,0.61954,0.93722,0.79721,0.01052,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2546.66,0.78317,0.42316,0.00518,0.79821,0.78937,0.82387,0.60921,0.95185,0.82855,0.01072,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2623.75,0.77493,0.4162,0.00509,0.79911,0.79465,0.8328,0.61891,0.93956,0.78388,0.01064,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2699.49,0.76483,0.40384,0.00503,0.81498,0.76644,0.82753,0.61392,0.93511,0.81135,0.01053,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2776.36,0.76308,0.39361,0.00501,0.79574,0.80298,0.83105,0.61979,0.9349,0.80124,0.01057,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,109.194,0.74987,0.55026,0.00492,0.77551,0.79375,0.81711,0.60666,0.93097,0.85615,0.01054,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,186.768,0.74194,0.38125,0.00486,0.78124,0.79812,0.8277,0.61802,0.92746,0.83887,0.01045,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,264.995,0.73796,0.37267,0.00484,0.78067,0.79465,0.82328,0.61259,0.92272,0.84625,0.01036,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,340.799,0.73574,0.36472,0.00482,0.78761,0.78423,0.82183,0.61332,0.93489,0.8472,0.01053,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,423.727,0.72597,0.35493,0.00475,0.78155,0.79836,0.82589,0.61539,0.92997,0.8391,0.01043,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,502.432,0.7163,0.34122,0.00468,0.77149,0.79442,0.81314,0.60768,0.91615,0.89599,0.01023,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,578.363,0.70608,0.33525,0.00462,0.79784,0.80363,0.82436,0.61338,0.94116,0.87547,0.01062,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,657.326,0.69999,0.32923,0.00457,0.79694,0.78717,0.81869,0.61206,0.92003,0.9005,0.01038,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,735.781,0.69162,0.31589,0.00451,0.79336,0.79571,0.81568,0.60831,0.92982,0.89759,0.01045,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,815.21,0.68787,0.30743,0.00446,0.80251,0.7984,0.81794,0.60993,0.91796,0.94073,0.0103,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
