epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.746,1.11936,3.1046,0.00566,0.46814,0.41619,0.39262,0.27372,1.63294,2.85266,0.01698,4.89232e-05,4.89232e-05,4.89232e-05
2,451.652,0.90342,0.89736,0.00431,0.52483,0.45871,0.44984,0.32502,1.4028,2.52103,0.01403,8.98445e-05,8.98445e-05,8.98445e-05
3,652.7,0.86101,0.65298,0.00407,0.54211,0.54654,0.52338,0.37118,1.28223,1.774,0.01236,0.000122681,0.000122681,0.000122681
4,856.521,0.83488,0.55585,0.00393,0.54996,0.62898,0.59042,0.41933,1.20107,1.52452,0.0117,0.000110617,0.000110617,0.000110617
5,1059.33,0.81007,0.48871,0.00379,0.59157,0.69413,0.66343,0.47272,1.16379,1.25474,0.01153,9.849e-05,9.849e-05,9.849e-05
6,1264.69,0.79157,0.44647,0.00369,0.67042,0.66924,0.69174,0.50385,1.09217,1.14151,0.01053,8.63625e-05,8.63625e-05,8.63625e-05
7,1468.44,0.77779,0.42089,0.00362,0.66758,0.675,0.70326,0.51012,1.09569,1.06531,0.01044,7.4235e-05,7.4235e-05,7.4235e-05
8,1673.44,0.76314,0.39332,0.00355,0.60345,0.75957,0.71152,0.51864,1.10768,1.00685,0.01085,6.21075e-05,6.21075e-05,6.21075e-05
9,1878.62,0.75159,0.37277,0.00348,0.69235,0.69218,0.72605,0.53524,1.07924,1.04114,0.01043,4.998e-05,4.998e-05,4.998e-05
10,2083.89,0.74206,0.35582,0.00343,0.66629,0.71442,0.73745,0.54562,1.04413,0.96078,0.01,3.78525e-05,3.78525e-05,3.78525e-05
11,2288.55,0.73359,0.34294,0.00339,0.71436,0.69633,0.74844,0.56067,1.02555,0.93952,0.00979,2.5725e-05,2.5725e-05,2.5725e-05
12,2493.4,0.72519,0.33177,0.00335,0.70839,0.71425,0.75514,0.56993,1.00956,0.92195,0.00966,1.35975e-05,1.35975e-05,1.35975e-05
