epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8369,1.64397,4.83849,0.01247,0.29471,0.10729,0.07665,0.04711,1.42312,3.40624,0.01716,4.86316e-05,4.86316e-05,4.86316e-05
2,95.7012,1.32271,2.6016,0.00934,0.55472,0.46454,0.47572,0.33206,1.22582,2.00214,0.01444,9.68261e-05,9.68261e-05,9.68261e-05
3,135.138,1.1949,1.70976,0.00831,0.67882,0.61517,0.64579,0.45522,1.17703,1.49775,0.01339,0.000144212,0.000144212,0.000144212
4,174.772,1.12514,1.3054,0.00775,0.73881,0.66135,0.72073,0.51616,1.10844,1.20015,0.01275,0.000143362,0.000143362,0.000143362
5,215.054,1.06908,1.07407,0.00733,0.75954,0.69267,0.75498,0.54001,1.07467,1.10332,0.01224,0.000142149,0.000142149,0.000142149
6,254.664,1.028,0.9701,0.00698,0.77613,0.7297,0.77705,0.56488,1.03373,0.97802,0.01171,0.000140936,0.000140936,0.000140936
7,295.004,0.99459,0.87496,0.00675,0.7854,0.73095,0.7951,0.58426,1.00206,0.9261,0.01132,0.000139723,0.000139723,0.000139723
8,335.45,0.96643,0.82818,0.00652,0.79842,0.73074,0.80257,0.5865,1.00575,0.90593,0.01141,0.000138511,0.000138511,0.000138511
9,375.173,0.94295,0.78224,0.00636,0.78236,0.75871,0.80964,0.59613,0.98399,0.86699,0.01108,0.000137298,0.000137298,0.000137298
10,415.451,0.93137,0.74944,0.00624,0.78963,0.76114,0.81552,0.60083,0.9825,0.83357,0.01111,0.000136085,0.000136085,0.000136085
11,455.859,0.91489,0.71682,0.00613,0.79587,0.75831,0.81549,0.59506,0.98463,0.8439,0.01108,0.000134872,0.000134872,0.000134872
12,496.086,0.90286,0.69728,0.00602,0.80412,0.75708,0.82272,0.60474,0.98104,0.81409,0.01112,0.00013366,0.00013366,0.00013366
13,536.489,0.88748,0.66547,0.00591,0.80782,0.76685,0.82307,0.6089,0.96357,0.81217,0.01089,0.000132447,0.000132447,0.000132447
14,576.831,0.86969,0.6532,0.00582,0.78615,0.77873,0.81999,0.60514,0.97015,0.81139,0.01093,0.000131234,0.000131234,0.000131234
15,615.912,0.85575,0.63312,0.0057,0.7959,0.75899,0.82676,0.6077,0.97066,0.80968,0.01096,0.000130022,0.000130022,0.000130022
16,655.41,0.85135,0.60147,0.00569,0.80919,0.76743,0.83024,0.61206,0.96831,0.79147,0.01106,0.000128809,0.000128809,0.000128809
17,695.159,0.83989,0.5922,0.00559,0.80528,0.76589,0.82863,0.61305,0.96331,0.8027,0.01091,0.000127596,0.000127596,0.000127596
18,734.701,0.82249,0.57023,0.00545,0.77484,0.80843,0.83193,0.61297,0.96416,0.78881,0.01098,0.000126383,0.000126383,0.000126383
19,773.353,0.80627,0.55671,0.00535,0.80954,0.77284,0.83547,0.61819,0.96117,0.79528,0.0109,0.000125171,0.000125171,0.000125171
20,813.208,0.8072,0.54382,0.00537,0.8101,0.76956,0.83086,0.61313,0.9614,0.82921,0.01095,0.000123958,0.000123958,0.000123958
21,853.014,0.79247,0.52011,0.00524,0.80273,0.77125,0.8277,0.60994,0.96892,0.80503,0.01101,0.000122745,0.000122745,0.000122745
22,892.222,0.78264,0.50261,0.00516,0.79944,0.78341,0.82889,0.61007,0.95654,0.83124,0.01079,0.000121532,0.000121532,0.000121532
23,931.753,0.77843,0.49665,0.00512,0.8019,0.77123,0.82692,0.60955,0.95685,0.8209,0.01076,0.000120319,0.000120319,0.000120319
24,970.701,0.76646,0.47817,0.00506,0.80366,0.78049,0.82342,0.61052,0.96541,0.84252,0.01093,0.000119107,0.000119107,0.000119107
25,1010.04,0.75758,0.45348,0.00499,0.78999,0.80283,0.82768,0.60755,0.96387,0.84663,0.01085,0.000117894,0.000117894,0.000117894
26,1049.83,0.74534,0.44315,0.00489,0.81089,0.77109,0.82002,0.60241,0.96931,0.86277,0.01095,0.000116681,0.000116681,0.000116681
27,1089.08,0.74271,0.42988,0.00488,0.79956,0.78053,0.82077,0.6035,0.96993,0.85053,0.01096,0.000115468,0.000115468,0.000115468
28,1128.38,0.72551,0.41085,0.00475,0.79373,0.76793,0.81179,0.59748,0.96683,0.85201,0.01102,0.000114256,0.000114256,0.000114256
29,1168.36,0.71836,0.40842,0.0047,0.80564,0.76213,0.81317,0.59702,0.96648,0.87492,0.01092,0.000113043,0.000113043,0.000113043
30,1207.89,0.71406,0.39582,0.00467,0.80602,0.77609,0.8091,0.59658,0.96587,0.89282,0.01094,0.00011183,0.00011183,0.00011183
31,1247.24,0.70404,0.38719,0.0046,0.80654,0.78087,0.81659,0.59983,0.97047,0.89377,0.01098,0.000110617,0.000110617,0.000110617
32,1286.9,0.69379,0.37541,0.00454,0.78135,0.77708,0.8081,0.59107,0.98489,0.90669,0.0112,0.000109405,0.000109405,0.000109405
33,1325.92,0.68831,0.37138,0.00447,0.79008,0.77214,0.80208,0.58851,0.97401,0.91569,0.0111,0.000108192,0.000108192,0.000108192
34,1365.32,0.67881,0.35842,0.00441,0.80761,0.76619,0.80275,0.59346,0.96871,0.94708,0.01103,0.000106979,0.000106979,0.000106979
35,1404.85,0.66962,0.34919,0.00435,0.79933,0.77023,0.80224,0.59114,0.96979,0.93624,0.01098,0.000105766,0.000105766,0.000105766
36,1443.61,0.66374,0.34123,0.00433,0.76595,0.78105,0.79859,0.587,0.97747,0.93155,0.01116,0.000104554,0.000104554,0.000104554
37,1482.84,0.65139,0.33162,0.00425,0.79665,0.78184,0.80546,0.59435,0.96753,0.94244,0.01093,0.000103341,0.000103341,0.000103341
38,1523.02,0.63935,0.32136,0.00415,0.7954,0.76575,0.80473,0.59402,0.96251,0.93504,0.01091,0.000102128,0.000102128,0.000102128
39,1561.99,0.63422,0.32214,0.00412,0.79299,0.76639,0.79629,0.58484,0.96283,0.93604,0.01091,0.000100915,0.000100915,0.000100915
40,1601.41,0.63213,0.31498,0.00409,0.80467,0.76536,0.79846,0.58396,0.97335,0.94773,0.01111,9.97028e-05,9.97028e-05,9.97028e-05
