epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9033,1.52236,5.00749,0.01135,0.27856,0.18098,0.13345,0.08745,1.3072,3.17396,0.01555,4.88151e-05,4.88151e-05,4.88151e-05
2,157.476,1.26386,2.57171,0.00886,0.56937,0.53579,0.52939,0.37171,1.16567,1.8371,0.0135,9.70081e-05,9.70081e-05,9.70081e-05
3,228.5,1.14999,1.645,0.00796,0.67496,0.62904,0.6669,0.47567,1.10443,1.34577,0.01279,0.000144393,0.000144393,0.000144393
4,298.569,1.08817,1.27822,0.00751,0.73105,0.67727,0.73292,0.53302,1.04748,1.14399,0.01204,0.000143362,0.000143362,0.000143362
5,369.567,1.0276,1.07383,0.00704,0.75649,0.70611,0.76285,0.5566,1.01535,1.00784,0.01171,0.000142149,0.000142149,0.000142149
6,440.767,1.00462,0.96196,0.00684,0.771,0.72899,0.78428,0.57423,0.99436,0.93066,0.01135,0.000140936,0.000140936,0.000140936
7,511.659,0.9661,0.89161,0.00656,0.78606,0.73995,0.7976,0.59087,0.97171,0.87863,0.01118,0.000139723,0.000139723,0.000139723
8,582.805,0.94236,0.83597,0.00638,0.77227,0.75141,0.80002,0.59132,0.96844,0.86539,0.01108,0.000138511,0.000138511,0.000138511
9,653.632,0.92133,0.78796,0.00625,0.80248,0.74431,0.81278,0.60475,0.94583,0.83904,0.01082,0.000137298,0.000137298,0.000137298
10,725.387,0.89739,0.75444,0.00603,0.79296,0.76427,0.81997,0.61069,0.94699,0.81144,0.01082,0.000136085,0.000136085,0.000136085
11,796.382,0.87523,0.71731,0.00587,0.79713,0.76873,0.82463,0.61428,0.95262,0.80049,0.01087,0.000134872,0.000134872,0.000134872
12,866.973,0.86381,0.69263,0.00578,0.80887,0.7717,0.82969,0.6215,0.92946,0.78792,0.01058,0.00013366,0.00013366,0.00013366
13,938.077,0.85459,0.6583,0.00571,0.80996,0.77182,0.82844,0.61996,0.92794,0.77711,0.01055,0.000132447,0.000132447,0.000132447
14,1008.52,0.83832,0.6423,0.00562,0.80551,0.78286,0.83128,0.62497,0.93179,0.76048,0.01058,0.000131234,0.000131234,0.000131234
15,1079.86,0.82497,0.61873,0.0055,0.80183,0.77497,0.83406,0.62623,0.92014,0.75797,0.0105,0.000130022,0.000130022,0.000130022
16,1150.45,0.82267,0.5975,0.0055,0.8076,0.7874,0.83631,0.62669,0.92082,0.75048,0.01048,0.000128809,0.000128809,0.000128809
17,1221.16,0.79714,0.57764,0.00531,0.80125,0.7828,0.83545,0.62441,0.92846,0.7586,0.01051,0.000127596,0.000127596,0.000127596
18,1291.7,0.79364,0.56661,0.00529,0.78422,0.77901,0.83674,0.62677,0.9196,0.76698,0.0105,0.000126383,0.000126383,0.000126383
19,1362.62,0.78382,0.54826,0.00521,0.80023,0.78803,0.83229,0.62459,0.92397,0.75707,0.01044,0.000125171,0.000125171,0.000125171
20,1433.5,0.77134,0.52711,0.00514,0.81799,0.77821,0.83217,0.61949,0.92861,0.77873,0.0106,0.000123958,0.000123958,0.000123958
21,1504.27,0.76022,0.50169,0.00504,0.79372,0.78597,0.83415,0.62353,0.9321,0.76848,0.01066,0.000122745,0.000122745,0.000122745
22,1574.83,0.74669,0.48786,0.00493,0.79858,0.7763,0.83103,0.6216,0.91657,0.78996,0.01045,0.000121532,0.000121532,0.000121532
23,1645.11,0.74098,0.47193,0.00489,0.8044,0.7759,0.8256,0.61664,0.91919,0.79744,0.0104,0.000120319,0.000120319,0.000120319
24,1715.8,0.72938,0.45554,0.00482,0.81065,0.78799,0.82728,0.61966,0.91412,0.7978,0.01035,0.000119107,0.000119107,0.000119107
25,1787.65,0.72048,0.44242,0.00476,0.79305,0.79712,0.82979,0.62044,0.91614,0.80871,0.01033,0.000117894,0.000117894,0.000117894
26,1858.13,0.70931,0.42297,0.00466,0.80519,0.78231,0.82291,0.61753,0.91635,0.81032,0.01041,0.000116681,0.000116681,0.000116681
27,1928.54,0.70004,0.40934,0.00462,0.78544,0.78315,0.82144,0.6174,0.92242,0.80341,0.01048,0.000115468,0.000115468,0.000115468
28,1998.14,0.68709,0.39628,0.0045,0.79213,0.77819,0.8193,0.61103,0.92297,0.84337,0.01051,0.000114256,0.000114256,0.000114256
29,2068.8,0.67823,0.38926,0.00444,0.7786,0.77851,0.8106,0.60492,0.92766,0.85158,0.0105,0.000113043,0.000113043,0.000113043
30,2139.43,0.67163,0.37261,0.00441,0.78141,0.78572,0.81897,0.61335,0.92004,0.85703,0.01048,0.00011183,0.00011183,0.00011183
31,2210,0.66074,0.36908,0.00432,0.77609,0.78424,0.81712,0.61027,0.92296,0.84736,0.01048,0.000110617,0.000110617,0.000110617
32,2280.64,0.65499,0.35632,0.00428,0.79312,0.77975,0.82127,0.61272,0.92757,0.85614,0.01051,0.000109405,0.000109405,0.000109405
33,2351.35,0.63887,0.34441,0.00416,0.78684,0.79697,0.81611,0.60869,0.92683,0.88754,0.01049,0.000108192,0.000108192,0.000108192
34,2423.05,0.63798,0.33653,0.00416,0.76856,0.79776,0.8114,0.59989,0.93527,0.90832,0.0106,0.000106979,0.000106979,0.000106979
35,2495.13,0.6256,0.33038,0.00408,0.79351,0.78022,0.81088,0.60291,0.92595,0.89546,0.01051,0.000105766,0.000105766,0.000105766
36,2567.69,0.6195,0.32091,0.00404,0.77757,0.78866,0.81117,0.60823,0.91893,0.8869,0.01039,0.000104554,0.000104554,0.000104554
37,2639.37,0.61285,0.31585,0.004,0.78979,0.78488,0.81573,0.6062,0.92399,0.89985,0.0105,0.000103341,0.000103341,0.000103341
38,2710.71,0.59947,0.30684,0.0039,0.79181,0.7831,0.81125,0.60459,0.91683,0.90007,0.01041,0.000102128,0.000102128,0.000102128
39,2781.56,0.59714,0.29966,0.00389,0.79292,0.78491,0.81193,0.60223,0.92745,0.90928,0.01056,0.000100915,0.000100915,0.000100915
40,2852.52,0.58579,0.28836,0.0038,0.78924,0.79256,0.8062,0.60294,0.92645,0.92461,0.01053,9.97028e-05,9.97028e-05,9.97028e-05
41,2923.16,0.57933,0.28803,0.00376,0.82083,0.77918,0.81277,0.60595,0.92673,0.92229,0.01051,9.849e-05,9.849e-05,9.849e-05
42,2993.97,0.57323,0.28283,0.00372,0.78485,0.78844,0.80531,0.59603,0.93118,0.94356,0.01057,9.72772e-05,9.72772e-05,9.72772e-05
43,3064.05,0.56732,0.27444,0.00368,0.79817,0.78406,0.80639,0.60197,0.92851,0.95568,0.01057,9.60645e-05,9.60645e-05,9.60645e-05
44,3134.35,0.56082,0.27071,0.00363,0.80386,0.78443,0.80764,0.60197,0.92666,0.936,0.0105,9.48518e-05,9.48518e-05,9.48518e-05
45,3204.44,0.55171,0.26653,0.00358,0.8054,0.78532,0.80186,0.59533,0.92627,0.97635,0.01054,9.3639e-05,9.3639e-05,9.3639e-05
46,3275.77,0.54613,0.26086,0.00353,0.79507,0.77706,0.79758,0.59477,0.92379,0.96868,0.01049,9.24263e-05,9.24263e-05,9.24263e-05
47,3346.5,0.53556,0.25501,0.00346,0.8036,0.7857,0.80021,0.59338,0.93119,0.98146,0.0106,9.12135e-05,9.12135e-05,9.12135e-05
48,3416.05,0.5316,0.25164,0.00343,0.79808,0.7948,0.7999,0.59742,0.91968,0.98252,0.01042,9.00008e-05,9.00008e-05,9.00008e-05
49,3486.34,0.52504,0.24298,0.00338,0.80436,0.78763,0.7964,0.59472,0.92574,0.97888,0.01046,8.8788e-05,8.8788e-05,8.8788e-05
50,3556.39,0.51607,0.24138,0.00334,0.82073,0.78718,0.79897,0.5965,0.91805,0.99203,0.0104,8.75752e-05,8.75752e-05,8.75752e-05
51,3627.59,0.51227,0.2351,0.0033,0.8235,0.78462,0.79568,0.59262,0.92354,1.01061,0.01049,8.63625e-05,8.63625e-05,8.63625e-05
52,3698.19,0.50409,0.23315,0.00325,0.82128,0.77819,0.79574,0.59675,0.9213,0.9988,0.01044,8.51497e-05,8.51497e-05,8.51497e-05
53,3768.29,0.49713,0.23088,0.0032,0.80891,0.78584,0.79555,0.59399,0.9228,1.01472,0.01048,8.3937e-05,8.3937e-05,8.3937e-05
54,3838.9,0.49508,0.23089,0.00318,0.81815,0.78866,0.79864,0.59488,0.93299,0.98708,0.01066,8.27242e-05,8.27242e-05,8.27242e-05
55,3908.4,0.4851,0.2241,0.00311,0.79279,0.79758,0.80046,0.59704,0.92571,0.99596,0.01051,8.15115e-05,8.15115e-05,8.15115e-05
56,3978.65,0.48005,0.22106,0.00309,0.82682,0.78216,0.80134,0.59461,0.93157,1.01266,0.01059,8.02988e-05,8.02988e-05,8.02988e-05
