epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.967,2.27158,5.81365,0.01443,0.00134,0.00635,0.00011,4e-05,2.19583,5.3394,0.02523,1.764e-05,1.764e-05,1.764e-05
2,34.2411,2.03708,5.3747,0.01253,0.01018,0.09692,0.00456,0.0035,1.85097,4.90487,0.0206,3.66287e-05,3.66287e-05,3.66287e-05
3,40.8914,1.79761,4.82175,0.01034,0.00906,0.34059,0.03768,0.0268,1.63497,4.45416,0.01683,5.54913e-05,5.54913e-05,5.54913e-05
4,47.5072,1.65519,4.22616,0.00902,0.50107,0.07393,0.07389,0.05391,1.50254,4.17569,0.01485,7.42278e-05,7.42278e-05,7.42278e-05
5,53.8257,1.57017,3.72884,0.008,0.24623,0.13363,0.10239,0.07373,1.3684,3.48723,0.01372,9.28381e-05,9.28381e-05,9.28381e-05
6,60.2002,1.48067,3.32939,0.00772,0.32011,0.2072,0.17436,0.12476,1.34746,3.05569,0.01335,0.000111322,0.000111322,0.000111322
7,66.6547,1.43755,2.97301,0.00739,0.48176,0.2713,0.28892,0.21106,1.25486,2.68523,0.0126,0.00012968,0.00012968,0.00012968
8,73.0208,1.35834,2.66339,0.00695,0.42802,0.37187,0.37108,0.26422,1.2574,2.29916,0.01224,0.000143604,0.000143604,0.000143604
9,79.2795,1.32714,2.40368,0.00682,0.50898,0.40809,0.45645,0.31659,1.28107,1.97702,0.01252,0.000143119,0.000143119,0.000143119
10,85.7473,1.30093,2.21503,0.00662,0.46156,0.51742,0.53888,0.38361,1.20856,1.72738,0.01167,0.000142634,0.000142634,0.000142634
11,92.043,1.27569,2.03161,0.00638,0.50898,0.51234,0.57493,0.42192,1.14779,1.57647,0.01109,0.000142149,0.000142149,0.000142149
12,98.401,1.24419,1.90241,0.00647,0.55315,0.54932,0.60343,0.45251,1.06642,1.60454,0.01035,0.000141664,0.000141664,0.000141664
13,104.651,1.22936,1.78173,0.00612,0.55464,0.59458,0.62659,0.46628,1.07376,1.36752,0.01035,0.000141179,0.000141179,0.000141179
14,111.072,1.20195,1.74087,0.00621,0.60098,0.60605,0.65779,0.49994,1.01917,1.31355,0.01005,0.000140694,0.000140694,0.000140694
15,117.438,1.21455,1.64294,0.00612,0.5915,0.64107,0.67626,0.51284,1.02857,1.24285,0.00982,0.000140209,0.000140209,0.000140209
16,123.8,1.15612,1.57818,0.00579,0.59446,0.64335,0.68156,0.51663,1.00141,1.19919,0.00982,0.000139723,0.000139723,0.000139723
17,130.26,1.13349,1.46461,0.0056,0.56597,0.67827,0.70071,0.52928,1.03086,1.19252,0.00985,0.000139238,0.000139238,0.000139238
18,136.704,1.12014,1.47487,0.00567,0.69724,0.57194,0.7046,0.53339,0.9926,1.13151,0.00957,0.000138753,0.000138753,0.000138753
19,143.061,1.10758,1.42323,0.00558,0.67666,0.64192,0.72253,0.5445,1.01302,1.12623,0.00952,0.000138268,0.000138268,0.000138268
20,149.56,1.0948,1.40104,0.00536,0.62536,0.69757,0.71379,0.54682,0.98092,1.0628,0.00933,0.000137783,0.000137783,0.000137783
21,155.937,1.09417,1.37803,0.0054,0.66226,0.64955,0.71626,0.54676,0.98656,1.06656,0.00945,0.000137298,0.000137298,0.000137298
22,162.142,1.10179,1.33456,0.00551,0.71732,0.63758,0.71725,0.54983,0.94734,1.03987,0.00919,0.000136813,0.000136813,0.000136813
23,168.471,1.05062,1.28723,0.00521,0.72288,0.64463,0.73415,0.56074,0.95731,1.05127,0.00906,0.000136328,0.000136328,0.000136328
24,174.864,1.06751,1.2697,0.00522,0.70199,0.66319,0.73705,0.5576,0.98769,1.01589,0.00947,0.000135843,0.000135843,0.000135843
25,181.06,1.08,1.24262,0.00535,0.63699,0.71269,0.72899,0.55456,0.96526,0.99904,0.00906,0.000135358,0.000135358,0.000135358
26,187.379,1.04979,1.21041,0.00517,0.68009,0.65999,0.74155,0.5731,0.92066,1.01788,0.00881,0.000134872,0.000134872,0.000134872
27,193.799,1.05546,1.20946,0.00513,0.70696,0.68745,0.75185,0.5822,0.94915,0.99646,0.00918,0.000134387,0.000134387,0.000134387
28,200.228,1.02899,1.17221,0.00506,0.69194,0.70086,0.76843,0.59256,0.92836,0.95763,0.00891,0.000133902,0.000133902,0.000133902
29,206.611,1.0191,1.17969,0.00497,0.74869,0.6824,0.77551,0.59255,0.94612,0.9741,0.00898,0.000133417,0.000133417,0.000133417
30,212.857,0.99875,1.1191,0.00469,0.73728,0.65686,0.76257,0.58866,0.93264,0.98948,0.00896,0.000132932,0.000132932,0.000132932
31,219.133,0.98622,1.106,0.00475,0.75825,0.63243,0.76639,0.5968,0.92034,0.96744,0.00889,0.000132447,0.000132447,0.000132447
32,225.549,0.9783,1.10023,0.00487,0.69461,0.71115,0.76468,0.57739,0.95479,1.00577,0.00901,0.000131962,0.000131962,0.000131962
33,231.67,0.98738,1.0943,0.00487,0.72287,0.6911,0.7566,0.58108,0.94203,0.96675,0.009,0.000131477,0.000131477,0.000131477
34,237.831,0.99059,1.05165,0.00495,0.64462,0.75371,0.76519,0.58857,0.94331,0.97346,0.00903,0.000130992,0.000130992,0.000130992
35,243.948,0.99887,1.05731,0.00496,0.71063,0.70132,0.76147,0.58892,0.93189,0.97958,0.00892,0.000130507,0.000130507,0.000130507
36,250.284,0.99593,1.05961,0.00473,0.65741,0.68556,0.7337,0.56127,0.93875,1.00547,0.00896,0.000130022,0.000130022,0.000130022
