epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6751,2.2408,6.33609,0.01622,0,0,0,0,2.22629,5.46871,0.02528,1.764e-05,1.764e-05,1.764e-05
2,32.5061,2.00451,5.7463,0.01411,0.00769,0.12664,0.00468,0.00301,1.87465,4.83649,0.02105,3.66287e-05,3.66287e-05,3.66287e-05
3,39.0526,1.78203,5.08343,0.01196,0.01269,0.34838,0.02197,0.01664,1.60484,4.33184,0.01636,5.54913e-05,5.54913e-05,5.54913e-05
4,45.6017,1.54572,4.39359,0.00981,0.34488,0.10373,0.05862,0.04281,1.41236,3.92774,0.01407,7.42278e-05,7.42278e-05,7.42278e-05
5,51.7323,1.4085,3.87983,0.00874,0.50675,0.10879,0.08867,0.06532,1.33441,3.47206,0.01347,9.28381e-05,9.28381e-05,9.28381e-05
6,57.9423,1.3112,3.38274,0.00795,0.3012,0.20372,0.16324,0.12194,1.30095,2.9914,0.01289,0.000111322,0.000111322,0.000111322
7,64.0313,1.24789,2.98005,0.00756,0.37134,0.25765,0.25702,0.19393,1.22603,2.59815,0.01209,0.00012968,0.00012968,0.00012968
8,70.201,1.17584,2.54036,0.00708,0.45688,0.33451,0.36203,0.25963,1.21363,2.27974,0.01218,0.000143604,0.000143604,0.000143604
9,76.325,1.15527,2.2091,0.00685,0.45329,0.40058,0.41556,0.30686,1.19383,2.06398,0.01173,0.000143119,0.000143119,0.000143119
10,82.5497,1.13797,1.98037,0.00675,0.51093,0.4539,0.47837,0.35103,1.11208,1.79113,0.01101,0.000142634,0.000142634,0.000142634
11,88.6461,1.06788,1.76665,0.00635,0.52932,0.48588,0.51605,0.37782,1.08875,1.66131,0.01069,0.000142149,0.000142149,0.000142149
12,94.7834,1.09458,1.62537,0.00646,0.54121,0.52954,0.56398,0.41098,1.07847,1.5419,0.01037,0.000141664,0.000141664,0.000141664
13,100.956,1.04768,1.48614,0.0062,0.55107,0.54508,0.60714,0.45113,1.04768,1.42942,0.01005,0.000141179,0.000141179,0.000141179
14,107.165,1.00651,1.40193,0.0059,0.61267,0.55893,0.61849,0.4616,1.03923,1.32755,0.0101,0.000140694,0.000140694,0.000140694
15,113.294,0.99979,1.28274,0.00588,0.5812,0.62826,0.64976,0.48525,1.0337,1.27522,0.01001,0.000140209,0.000140209,0.000140209
16,119.515,0.96647,1.21849,0.00566,0.62404,0.60842,0.66575,0.50378,1.01756,1.23875,0.00981,0.000139723,0.000139723,0.000139723
17,125.631,0.95551,1.14956,0.00556,0.61279,0.59064,0.64514,0.48706,1.02541,1.22025,0.01001,0.000139238,0.000139238,0.000139238
18,131.636,0.94299,1.10973,0.00555,0.60515,0.62891,0.66847,0.51074,0.99476,1.16244,0.00967,0.000138753,0.000138753,0.000138753
19,137.69,0.93649,1.06814,0.00546,0.60228,0.67309,0.67631,0.52446,0.97706,1.15304,0.00946,0.000138268,0.000138268,0.000138268
20,144.07,0.9325,1.01641,0.00537,0.64431,0.63267,0.67624,0.51536,0.9982,1.16025,0.00977,0.000137783,0.000137783,0.000137783
21,150.163,0.89647,0.95136,0.00517,0.63895,0.62294,0.69929,0.53427,0.98248,1.13384,0.00961,0.000137298,0.000137298,0.000137298
22,156.592,0.89061,0.93025,0.00514,0.65867,0.62754,0.67653,0.52048,0.98476,1.13724,0.0096,0.000136813,0.000136813,0.000136813
23,162.832,0.87079,0.90434,0.005,0.6749,0.6228,0.69656,0.52592,0.98586,1.09805,0.00956,0.000136328,0.000136328,0.000136328
24,168.988,0.8692,0.84705,0.00499,0.68555,0.65353,0.71072,0.54358,0.95838,1.10523,0.00923,0.000135843,0.000135843,0.000135843
25,175.197,0.85454,0.80733,0.00492,0.68107,0.60594,0.69117,0.52375,0.99408,1.11888,0.00946,0.000135358,0.000135358,0.000135358
26,181.335,0.8466,0.81033,0.00484,0.59895,0.6792,0.698,0.54097,0.94816,1.1055,0.00915,0.000134872,0.000134872,0.000134872
27,187.349,0.80044,0.75324,0.00456,0.65569,0.63977,0.68934,0.52833,0.95626,1.15158,0.00921,0.000134387,0.000134387,0.000134387
28,193.449,0.82936,0.74518,0.00478,0.64885,0.66224,0.68884,0.52567,0.96136,1.11914,0.00938,0.000133902,0.000133902,0.000133902
29,199.7,0.7984,0.69894,0.00463,0.66287,0.6704,0.70246,0.53947,0.94026,1.10093,0.00923,0.000133417,0.000133417,0.000133417
30,206.249,0.79289,0.67116,0.00459,0.71193,0.6446,0.7009,0.52942,0.98498,1.11053,0.00967,0.000132932,0.000132932,0.000132932
31,212.633,0.79468,0.66438,0.00455,0.62172,0.69826,0.68686,0.52609,0.95267,1.13263,0.00917,0.000132447,0.000132447,0.000132447
32,219.347,0.77453,0.65695,0.0044,0.68331,0.68606,0.72191,0.54396,0.95704,1.09248,0.00923,0.000131962,0.000131962,0.000131962
33,226.22,0.77275,0.63671,0.00445,0.63921,0.71525,0.71337,0.53435,0.95644,1.12373,0.00923,0.000131477,0.000131477,0.000131477
34,233.322,0.78848,0.59698,0.0045,0.6502,0.69567,0.70434,0.52403,0.97925,1.11984,0.00943,0.000130992,0.000130992,0.000130992
35,239.847,0.79616,0.61094,0.0046,0.68688,0.70259,0.72269,0.5256,1.00163,1.09401,0.00982,0.000130507,0.000130507,0.000130507
36,246.328,0.76051,0.57469,0.00436,0.67229,0.70267,0.71925,0.53531,0.97527,1.08793,0.00938,0.000130022,0.000130022,0.000130022
37,252.734,0.74434,0.55915,0.00425,0.74193,0.66217,0.70908,0.52747,0.97357,1.10473,0.00953,0.000129536,0.000129536,0.000129536
38,259.293,0.75093,0.55065,0.00424,0.63207,0.74759,0.72103,0.53938,0.95517,1.07521,0.00926,0.000129051,0.000129051,0.000129051
