epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.118,1.89007,3.62128,0.01348,0.53051,0.52547,0.4518,0.32809,1.70732,3.16183,0.01999,1.764e-05,1.764e-05,1.764e-05
2,32.9352,1.74371,3.08221,0.01207,0.57353,0.55632,0.4781,0.35141,1.60011,2.64023,0.01746,3.66287e-05,3.66287e-05,3.66287e-05
3,39.9752,1.54165,2.59105,0.01008,0.57039,0.55494,0.51213,0.37841,1.42042,2.15317,0.01464,5.54913e-05,5.54913e-05,5.54913e-05
4,46.8674,1.38656,2.04314,0.00863,0.58099,0.57145,0.5609,0.39685,1.33486,1.81719,0.01348,7.42278e-05,7.42278e-05,7.42278e-05
5,53.2386,1.28398,1.66906,0.00782,0.56608,0.56911,0.59397,0.41432,1.27904,1.60294,0.01295,9.28381e-05,9.28381e-05,9.28381e-05
6,59.8187,1.22958,1.45329,0.00753,0.56879,0.62944,0.63357,0.43521,1.23567,1.41177,0.01261,0.000111322,0.000111322,0.000111322
7,66.0652,1.1793,1.28265,0.00722,0.55335,0.6784,0.65932,0.44889,1.23069,1.249,0.0125,0.00012968,0.00012968,0.00012968
8,72.4002,1.10812,1.18326,0.00664,0.64769,0.64878,0.68364,0.47404,1.16662,1.15401,0.01163,0.000143604,0.000143604,0.000143604
9,78.6989,1.07457,1.10891,0.00636,0.56678,0.73268,0.69584,0.49451,1.09578,1.0878,0.01083,0.000143119,0.000143119,0.000143119
10,85.1977,1.03845,1.04628,0.00614,0.6355,0.71427,0.72041,0.52033,1.07362,1.0317,0.01071,0.000142634,0.000142634,0.000142634
11,91.5463,1.01866,0.99995,0.00607,0.65177,0.73266,0.72921,0.52375,1.0664,1.02389,0.01055,0.000142149,0.000142149,0.000142149
12,98.0558,0.99477,0.95485,0.00577,0.73455,0.65578,0.73809,0.53093,1.07742,1.00041,0.01056,0.000141664,0.000141664,0.000141664
13,104.361,0.96727,0.91924,0.00568,0.64757,0.72809,0.732,0.52858,1.06765,1.01998,0.01025,0.000141179,0.000141179,0.000141179
14,110.669,0.95155,0.89499,0.00556,0.63628,0.71897,0.73627,0.5392,1.07548,0.9949,0.01029,0.000140694,0.000140694,0.000140694
15,117.211,0.92109,0.84647,0.0054,0.67841,0.68623,0.7516,0.55925,1.01728,0.95029,0.00981,0.000140209,0.000140209,0.000140209
16,123.716,0.90534,0.80898,0.00528,0.66072,0.6947,0.74348,0.55439,0.98141,0.95013,0.00944,0.000139723,0.000139723,0.000139723
17,129.663,0.90263,0.79158,0.00527,0.66248,0.71196,0.74409,0.54222,1.04142,0.94782,0.01007,0.000139238,0.000139238,0.000139238
18,135.69,0.89981,0.7639,0.00529,0.63805,0.73104,0.74496,0.55892,0.97833,0.96183,0.00954,0.000138753,0.000138753,0.000138753
19,141.69,0.87258,0.76083,0.00509,0.62991,0.75516,0.74443,0.5579,0.96576,0.96207,0.00937,0.000138268,0.000138268,0.000138268
20,147.708,0.87677,0.74106,0.00505,0.64575,0.72033,0.73673,0.54342,0.98544,0.96841,0.00945,0.000137783,0.000137783,0.000137783
21,153.644,0.83667,0.69627,0.00483,0.64105,0.76906,0.74883,0.55788,0.95098,0.95932,0.00913,0.000137298,0.000137298,0.000137298
22,159.74,0.83441,0.67709,0.00484,0.68553,0.7564,0.7697,0.56881,1.0042,0.93921,0.0096,0.000136813,0.000136813,0.000136813
23,166.004,0.81787,0.67704,0.00472,0.69847,0.74089,0.77664,0.57978,0.9626,0.93823,0.00908,0.000136328,0.000136328,0.000136328
24,172.319,0.80812,0.63249,0.00465,0.69238,0.74638,0.76669,0.56582,0.96681,0.95955,0.00919,0.000135843,0.000135843,0.000135843
25,178.502,0.78732,0.62566,0.0045,0.69626,0.75966,0.7714,0.57628,0.9724,0.93912,0.00931,0.000135358,0.000135358,0.000135358
26,184.569,0.78715,0.58763,0.00452,0.72545,0.72133,0.77908,0.58072,0.96692,0.94218,0.00921,0.000134872,0.000134872,0.000134872
27,190.763,0.77107,0.58866,0.00441,0.70207,0.72418,0.77411,0.58649,0.97457,0.907,0.00941,0.000134387,0.000134387,0.000134387
28,196.964,0.76712,0.58458,0.0044,0.6985,0.75041,0.76517,0.57575,1.02109,0.95097,0.00989,0.000133902,0.000133902,0.000133902
29,202.903,0.74286,0.56012,0.00434,0.65448,0.78068,0.76787,0.56881,1.0107,0.96501,0.00975,0.000133417,0.000133417,0.000133417
30,208.911,0.74158,0.53916,0.00426,0.72641,0.72288,0.77078,0.57459,0.96359,0.95665,0.00923,0.000132932,0.000132932,0.000132932
31,214.804,0.74521,0.53224,0.00427,0.63365,0.79339,0.7579,0.56919,0.94313,0.99099,0.009,0.000132447,0.000132447,0.000132447
32,220.807,0.73161,0.54634,0.00417,0.65887,0.78104,0.76758,0.57816,0.95724,0.98424,0.00931,0.000131962,0.000131962,0.000131962
33,226.784,0.7386,0.51919,0.00428,0.65911,0.72668,0.74663,0.56237,0.95046,1.03896,0.00918,0.000131477,0.000131477,0.000131477
34,232.841,0.70536,0.49771,0.00402,0.70805,0.6907,0.7633,0.57394,0.95202,1.00082,0.00918,0.000130992,0.000130992,0.000130992
35,238.739,0.68537,0.50124,0.00392,0.72038,0.70537,0.76266,0.56993,0.94659,1.01036,0.00937,0.000130507,0.000130507,0.000130507
36,244.76,0.67286,0.46542,0.00383,0.68412,0.73285,0.76611,0.56788,0.95881,0.97686,0.00926,0.000130022,0.000130022,0.000130022
37,250.736,0.69715,0.46863,0.00397,0.66202,0.76234,0.76096,0.57111,0.96647,0.99124,0.00935,0.000129536,0.000129536,0.000129536
38,256.692,0.69238,0.46237,0.00389,0.66301,0.7058,0.74375,0.56409,0.94373,1.00964,0.00921,0.000129051,0.000129051,0.000129051
39,262.675,0.64838,0.44145,0.00369,0.66585,0.7499,0.76158,0.57591,0.93872,1.02433,0.00899,0.000128566,0.000128566,0.000128566
40,268.691,0.66505,0.44942,0.00376,0.64732,0.76703,0.75725,0.57677,0.9319,1.02256,0.009,0.000128081,0.000128081,0.000128081
41,274.644,0.66237,0.44354,0.00372,0.67673,0.72804,0.7436,0.56749,0.93287,1.02843,0.00904,0.000127596,0.000127596,0.000127596
42,280.886,0.64914,0.43242,0.00366,0.66934,0.75189,0.75391,0.57038,0.93084,1.01968,0.00895,0.000127111,0.000127111,0.000127111
43,286.952,0.64811,0.42204,0.00365,0.66703,0.73459,0.75658,0.5674,0.95905,1.03012,0.00934,0.000126626,0.000126626,0.000126626
44,293.09,0.65223,0.42095,0.0037,0.69835,0.73226,0.75654,0.56899,0.93749,1.05388,0.00922,0.000126141,0.000126141,0.000126141
45,299.16,0.62345,0.40516,0.0035,0.72522,0.68506,0.73603,0.55913,0.90325,1.06477,0.00871,0.000125656,0.000125656,0.000125656
46,305.25,0.60558,0.38529,0.00342,0.69345,0.71465,0.76812,0.5904,0.91883,0.99834,0.00879,0.000125171,0.000125171,0.000125171
47,311.397,0.63603,0.4106,0.00359,0.66375,0.74611,0.77475,0.58723,0.92756,1.07229,0.00895,0.000124685,0.000124685,0.000124685
48,317.448,0.62941,0.38263,0.00355,0.66004,0.74276,0.74735,0.5639,0.95345,1.05448,0.00929,0.0001242,0.0001242,0.0001242
49,323.381,0.61779,0.38725,0.0035,0.6997,0.73065,0.75855,0.56938,0.93795,1.02348,0.00914,0.000123715,0.000123715,0.000123715
50,329.405,0.56486,0.35888,0.0032,0.72074,0.70142,0.76016,0.57299,0.93915,1.04056,0.00919,0.00012323,0.00012323,0.00012323
51,335.369,0.57764,0.36552,0.0032,0.66481,0.774,0.75764,0.57358,0.92074,1.04134,0.00886,0.000122745,0.000122745,0.000122745
52,341.417,0.576,0.3574,0.00321,0.65,0.74407,0.73812,0.56413,0.92561,1.08301,0.0089,0.00012226,0.00012226,0.00012226
53,347.337,0.56171,0.35419,0.00314,0.71163,0.75313,0.76202,0.57287,0.93559,1.06367,0.00896,0.000121775,0.000121775,0.000121775
54,353.36,0.55766,0.35887,0.00312,0.66727,0.73839,0.74802,0.55948,0.93776,1.11368,0.0091,0.00012129,0.00012129,0.00012129
55,359.335,0.56053,0.35228,0.00313,0.63123,0.78812,0.75,0.56275,0.95394,1.09773,0.00919,0.000120805,0.000120805,0.000120805
56,365.396,0.55678,0.34304,0.00312,0.7074,0.69489,0.75428,0.57625,0.92454,1.07156,0.00881,0.000120319,0.000120319,0.000120319
57,371.301,0.55699,0.32435,0.0031,0.62929,0.77432,0.75768,0.56774,0.93197,1.10945,0.0089,0.000119834,0.000119834,0.000119834
58,377.355,0.53824,0.32936,0.00296,0.70115,0.71538,0.74103,0.56637,0.91043,1.10425,0.00873,0.000119349,0.000119349,0.000119349
59,383.301,0.52866,0.3164,0.00291,0.72826,0.69064,0.7633,0.5777,0.93448,1.07012,0.009,0.000118864,0.000118864,0.000118864
60,389.299,0.51996,0.3162,0.00289,0.6532,0.75219,0.73995,0.56762,0.92605,1.11069,0.00897,0.000118379,0.000118379,0.000118379
61,395.352,0.53544,0.32107,0.00291,0.71455,0.73069,0.75222,0.56881,0.93019,1.10928,0.00894,0.000117894,0.000117894,0.000117894
62,401.726,0.54412,0.31384,0.00302,0.70614,0.71429,0.74399,0.56236,0.93752,1.14869,0.00887,0.000117409,0.000117409,0.000117409
63,408.022,0.53042,0.30261,0.0029,0.74182,0.68565,0.74698,0.56209,0.93058,1.11605,0.00891,0.000116924,0.000116924,0.000116924
64,414.344,0.52388,0.30621,0.0029,0.69768,0.7129,0.75171,0.56831,0.92444,1.13294,0.00885,0.000116439,0.000116439,0.000116439
65,420.703,0.52297,0.30974,0.00293,0.67641,0.71074,0.74571,0.56805,0.92195,1.15496,0.00875,0.000115954,0.000115954,0.000115954
66,426.793,0.50367,0.29017,0.00279,0.70188,0.68469,0.7463,0.56105,0.92173,1.17944,0.00888,0.000115468,0.000115468,0.000115468
67,432.915,0.49685,0.2825,0.00274,0.7164,0.69717,0.74535,0.57413,0.90857,1.12926,0.00871,0.000114983,0.000114983,0.000114983
